输入类别,输入踏板值_百分比,样本数,BrakeOpen1_Out,BrakeOpen2_Out,BRK_Main_Out_V,BRK_Auxi_Out_V,理论主电压_V,主电压最大残差_V,辅电压最大残差_V,判定
负向越界,-50,15,0,0,1,0.5,1,0,0,下限钳位至零制动
零值基线,0,223,0,0,1,0.5,1,0,0,正常基线
小幅阶跃,2.555844659,24,2,2,1.076675340,0.538337670,1.076675340,0,0,线性映射
中幅阶跃,50,15,2,2,2.5,1.25,2.5,0,0,线性映射
满量程阶跃,100,15,2,2,4,2,4,0,0,达到上限
正向越界,150,15,2,2,4,2,4,0,0,上限饱和至100%
随机序列,0.114931585至94.237488040,15,2,2,1.003447948至3.827124641,0.501723974至1.913562321,1加0.03乘以输入,4.440892e-16,2.220446e-16,逐点线性映射
全量验证,-50至150,322,与输入符号一致,与输入符号一致,1至4,0.5至2,1加0.03乘以clip(输入0至100),4.440892e-16,2.220446e-16,通过
