输入类别,踏板值_百分比,样本数,AccPedal_百分比,BrakeOpen1_Out,BrakeOpen2_Out,BRK_Main_Out_V,BRK_Auxi_Out_V,映射判定,备注
零值基线,0,278,0或100,0,0,1,0.5,通过,正常无制动输出
中幅阶跃,50,15,100,2,2,2.5,1.25,通过,线性映射
满量程阶跃,100,38,0或100,2,2,4,2,通过,线性映射并达到上限
正向越界,150,15,100,2,2,4,2,通过,输出饱和至100%对应值
负向越界,-50,15,100,0,0,1,0.5,通过,下限钳位为零制动
随机序列,19.305995至90.672329,15,100,2,2,1.579180至3.720170,0.789590至1.860085,通过,逐点线性映射
全量验证,-50至150,376,0至100,与踏板正负一致,与踏板正负一致,1至4,0.5至2,通过,主电压最大残差4.440892e-16；辅电压最大残差2.220446e-16；继电器失配0点
