层,录波,方向,接口,最小值,最大值,变化次数,变化时刻_s,取值摘要,电压电流相关
env,average,内部/未标记,env_1_Design/PWM Input/Measurement/Processor,5,15,603,"0.200, 0.400, 0.600, 0.800, 1.000, 1.200, 1.400, 1.600, 1.800, 2.000 …",min=5; max=15; distinct=11,否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch1_PWM_Out_Frequency,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch1_PWM_Out_Duty_Ratio,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch1_PWM_Out_Amplitude,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch1_PWM_Out_Enable,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch1_PWM_Out_FIU,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch2_PWM_Out_Frequency,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch2_PWM_Out_Duty_Ratio,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch2_PWM_Out_Amplitude,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch2_PWM_Out_Enable,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch2_PWM_Out_FIU,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch3_PWM_Out_Frequency,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch3_PWM_Out_Duty_Ratio,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch3_PWM_Out_Amplitude,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch3_PWM_Out_Enable,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch3_PWM_Out_FIU,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch4_PWM_Out_Frequency,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch4_PWM_Out_Duty_Ratio,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch4_PWM_Out_Amplitude,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch4_PWM_Out_Enable,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch4_PWM_Out_FIU,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch5_PWM_Out_Frequency,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch5_PWM_Out_Duty_Ratio,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch5_PWM_Out_Amplitude,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch5_PWM_Out_Enable,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch5_PWM_Out_FIU,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch6_PWM_Out_Frequency,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch6_PWM_Out_Duty_Ratio,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch6_PWM_Out_Amplitude,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch6_PWM_Out_Enable,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch6_PWM_Out_FIU,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch7_PWM_Out_Frequency,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch7_PWM_Out_Duty_Ratio,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch7_PWM_Out_Amplitude,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch7_PWM_Out_Enable,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch7_PWM_Out_FIU,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch8_PWM_Out_Frequency,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch8_PWM_Out_Duty_Ratio,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch8_PWM_Out_Amplitude,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch8_PWM_Out_Enable,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch8_PWM_Out_FIU,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch9_PWM_Out_Frequency,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch9_PWM_Out_Duty_Ratio,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch9_PWM_Out_Amplitude,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch9_PWM_Out_Enable,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch9_PWM_Out_FIU,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch10_PWM_Out_Frequency,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch10_PWM_Out_Duty_Ratio,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch10_PWM_Out_Amplitude,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch10_PWM_Out_Enable,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch10_PWM_Out_FIU,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch11_PWM_Out_Frequency,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch11_PWM_Out_Duty_Ratio,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch11_PWM_Out_Amplitude,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch11_PWM_Out_Enable,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch11_PWM_Out_FIU,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch12_PWM_Out_Frequency,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch12_PWM_Out_Duty_Ratio,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch12_PWM_Out_Amplitude,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch12_PWM_Out_Enable,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch12_PWM_Out_FIU,0,0,0,,{0},否
