层,录波,方向,接口,最小值,最大值,变化次数,变化时刻_s,取值摘要,电压电流相关
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output26.U_Ch26_PWM_Out_Duty_Ratio_Out,0,0,0,,{0},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output26.U_Ch26_PWM_Out_Amplitude_Out,0,0,0,,{0},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output26.U_Ch26_PWM_Out_Enable_Out,1,1,0,,{1},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output27.U_Ch27_PWM_Out_Frequency_Out,0,0,0,,{0},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output27.U_Ch27_PWM_Out_Duty_Ratio_Out,0,0,0,,{0},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output27.U_Ch27_PWM_Out_Amplitude_Out,0,0,0,,{0},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output27.U_Ch27_PWM_Out_Enable_Out,1,1,0,,{1},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output28.U_Ch28_PWM_Out_Frequency_Out,0,0,0,,{0},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output28.U_Ch28_PWM_Out_Duty_Ratio_Out,0,0,0,,{0},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output28.U_Ch28_PWM_Out_Amplitude_Out,0,0,0,,{0},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output28.U_Ch28_PWM_Out_Enable_Out,1,1,0,,{1},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output29.U_Ch29_PWM_Out_Frequency_Out,0,0,0,,{0},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output29.U_Ch29_PWM_Out_Duty_Ratio_Out,0,0,0,,{0},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output29.U_Ch29_PWM_Out_Amplitude_Out,0,0,0,,{0},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output29.U_Ch29_PWM_Out_Enable_Out,1,1,0,,{1},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output3.U_Ch3_PWM_Out_Frequency_Out,0,0,0,,{0},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output3.U_Ch3_PWM_Out_Duty_Ratio_Out,0,0,0,,{0},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output3.U_Ch3_PWM_Out_Amplitude_Out,0,0,0,,{0},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output3.U_Ch3_PWM_Out_Enable_Out,1,1,0,,{1},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output30.U_Ch30_PWM_Out_Frequency_Out,0,0,0,,{0},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output30.U_Ch30_PWM_Out_Duty_Ratio_Out,0,0,0,,{0},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output30.U_Ch30_PWM_Out_Amplitude_Out,0,0,0,,{0},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output30.U_Ch30_PWM_Out_Enable_Out,1,1,0,,{1},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output31.U_Ch31_PWM_Out_Frequency_Out,0,0,0,,{0},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output31.U_Ch31_PWM_Out_Duty_Ratio_Out,0,0,0,,{0},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output31.U_Ch31_PWM_Out_Amplitude_Out,0,0,0,,{0},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output31.U_Ch31_PWM_Out_Enable_Out,1,1,0,,{1},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output32.U_Ch32_PWM_Out_Frequency_Out,0,0,0,,{0},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output32.U_Ch32_PWM_Out_Duty_Ratio_Out,0,0,0,,{0},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output32.U_Ch32_PWM_Out_Amplitude_Out,0,0,0,,{0},否
