层,录波,方向,接口,最小值,最大值,变化次数,变化时刻_s,取值摘要,电压电流相关
env,others,输出,env_1_Design/PWM Input/OutPort/Y_Ch41_PWM_In_Amplitude,0,0,0,,{0},否
env,others,输出,env_1_Design/PWM Input/OutPort/Y_Ch41_Support_Features,0,0,0,,{0},否
env,others,输出,env_1_Design/PWM Input/OutPort/Y_Ch41.Valid,0,0,0,,{0},否
env,others,输出,env_1_Design/PWM Input/OutPort/Y_Ch42_PWM_In_Frequency,0,0,0,,{0},否
env,others,输出,env_1_Design/PWM Input/OutPort/Y_Ch42_PWM_In_Period,0,0,0,,{0},否
env,others,输出,env_1_Design/PWM Input/OutPort/Y_Ch42_PWM_In_Duty_Ratio,0,0,0,,{0},否
env,others,输出,env_1_Design/PWM Input/OutPort/Y_Ch42_PWM_In_Amplitude,0,0,0,,{0},否
env,others,输出,env_1_Design/PWM Input/OutPort/Y_Ch42_Support_Features,0,0,0,,{0},否
env,others,输出,env_1_Design/PWM Input/OutPort/Y_Ch42.Valid,0,0,0,,{0},否
env,others,输出,env_1_Design/PWM Input/OutPort/Y_Ch43_PWM_In_Frequency,0,0,0,,{0},否
env,others,输出,env_1_Design/PWM Input/OutPort/Y_Ch43_PWM_In_Period,0,0,0,,{0},否
env,others,输出,env_1_Design/PWM Input/OutPort/Y_Ch43_PWM_In_Duty_Ratio,0,0,0,,{0},否
env,others,输出,env_1_Design/PWM Input/OutPort/Y_Ch43_PWM_In_Amplitude,0,0,0,,{0},否
env,others,输出,env_1_Design/PWM Input/OutPort/Y_Ch43_Support_Features,0,0,0,,{0},否
env,others,输出,env_1_Design/PWM Input/OutPort/Y_Ch43.Valid,0,0,0,,{0},否
env,others,输出,env_1_Design/PWM Input/OutPort/Y_Ch44_PWM_In_Frequency,0,0,0,,{0},否
env,others,输出,env_1_Design/PWM Input/OutPort/Y_Ch44_PWM_In_Period,0,0,0,,{0},否
