"OutputName","OutputDataType","OutputGroup","OutputRefBlock","OutputInternalSymbol","InputName","InputDataType","InputGroup","InputRefBlock","InputInternalSymbol","DependencyKind","DependencyConfidence","Explanation","FaultInjectionHint","Evidence"
"Veh_1.PlantModel.PlantModel.Vehicle1.Vehspeed ","Double","Plant/state output","Veh_1/PlantModel/PlantModel/Vehicle1/Vehspeed","Veh_1_B.VCar_Outport_mcw","Veh_1.Driver.BrakePedal_perc","Double","Driver input","Veh_1/Driver/BrakePedal_perc","Veh_1_B.VCar_Inport_n","Indirect input dependency","Static generated-C data flow","Plant/state output output has a generated-code data path from the Driver input input. A path does not guarantee a change in every runtime condition; state, parameters, and guards may suppress it.","After modifying this input, monitor Veh_1.PlantModel.PlantModel.Vehicle1.Vehspeed ; record baseline, injected value, recovery value, and duration.","Veh_1_code_info_extio.xml + Veh_1.c: Veh_1_B.VCar_Outport_mcw <- Veh_1_B.VCar_Inport_n"
"Veh_1.PlantModel.PlantModel.Vehicle1.Vehspeed ","Double","Plant/state output","Veh_1/PlantModel/PlantModel/Vehicle1/Vehspeed","Veh_1_B.VCar_Outport_mcw","Veh_1.Driver.Gear_Button","Double","Driver input","Veh_1/Driver/Gear_Button","Veh_1_B.VCar_Inport_n5","Indirect input dependency","Static generated-C data flow","Plant/state output output has a generated-code data path from the Driver input input. A path does not guarantee a change in every runtime condition; state, parameters, and guards may suppress it.","After modifying this input, monitor Veh_1.PlantModel.PlantModel.Vehicle1.Vehspeed ; record baseline, injected value, recovery value, and duration.","Veh_1_code_info_extio.xml + Veh_1.c: Veh_1_B.VCar_Outport_mcw <- Veh_1_B.VCar_Inport_n5"
"Veh_1.PlantModel.PlantModel.Vehicle1.Vehspeed ","Double","Plant/state output","Veh_1/PlantModel/PlantModel/Vehicle1/Vehspeed","Veh_1_B.VCar_Outport_mcw","Veh_1.FromVCU.CAN.VCU_Body.GW_VCU_2.VCU_TqReqCmd","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/GW_VCU_2/VCU_TqReqCmd","Veh_1_B.VCar_Inport_m","Indirect input dependency","Static generated-C data flow","Plant/state output output has a generated-code data path from the VCU/CAN input input. A path does not guarantee a change in every runtime condition; state, parameters, and guards may suppress it.","After modifying this input, monitor Veh_1.PlantModel.PlantModel.Vehicle1.Vehspeed ; record baseline, injected value, recovery value, and duration.","Veh_1_code_info_extio.xml + Veh_1.c: Veh_1_B.VCar_Outport_mcw <- Veh_1_B.VCar_Inport_m"
"Veh_1.PlantModel.PlantModel.Vehicle1.Vehspeed ","Double","Plant/state output","Veh_1/PlantModel/PlantModel/Vehicle1/Vehspeed","Veh_1_B.VCar_Outport_mcw","Veh_1.ToModelbase.FromDriverManeuver.SteeringWheelAngle_rad","Double","Modelbase input","Veh_1/ToModelbase/FromDriverManeuver/SteeringWheelAngle_rad","Veh_1_B.SteeringWheelAnglerad","Indirect input dependency","Static generated-C data flow","Plant/state output output has a generated-code data path from the Modelbase input input. A path does not guarantee a change in every runtime condition; state, parameters, and guards may suppress it.","After modifying this input, monitor Veh_1.PlantModel.PlantModel.Vehicle1.Vehspeed ; record baseline, injected value, recovery value, and duration.","Veh_1_code_info_extio.xml + Veh_1.c: Veh_1_B.VCar_Outport_mcw <- Veh_1_B.SteeringWheelAnglerad"
"Veh_1.ToVCU.bodyCAN_out.SoftDCDCDataToBus.DCDC_1.DCDC_CANError_ToBus","Double","Body CAN output","Veh_1/ToVCU/bodyCAN_out/SoftDCDCDataToBus/DCDC_1/DCDC_CANError_ToBus","Veh_1_B.VCar_Outport_ja2","<none>","","","","","Parameter/state only","Static generated-C data flow","No external model input was reached. Terminal/unresolved nodes: Veh_1_P.DCDC_CANError_Value; Veh_1_P.OvrdVal_Value_pu. Use runtime testing before treating this output as an injection observation.","Prefer outputs with a resolved external input in the same function chain for initial injection tests.","Veh_1_code_info_extio.xml + Veh_1.c: Veh_1_B.VCar_Outport_ja2"
"Veh_1.ToVCU.bodyCAN_out.SoftDCDCDataToBus.DCDC_1.DCDC_Derating_ToBus","Double","Body CAN output","Veh_1/ToVCU/bodyCAN_out/SoftDCDCDataToBus/DCDC_1/DCDC_Derating_ToBus","Veh_1_B.VCar_Outport_cy","<none>","","","","","Parameter/state only","Static generated-C data flow","No external model input was reached. Terminal/unresolved nodes: Veh_1_P.DCDC_Derating_Value; Veh_1_P.OvrdVal_Value_iiv. Use runtime testing before treating this output as an injection observation.","Prefer outputs with a resolved external input in the same function chain for initial injection tests.","Veh_1_code_info_extio.xml + Veh_1.c: Veh_1_B.VCar_Outport_cy"
"Veh_1.ToVCU.bodyCAN_out.SoftDCDCDataToBus.DCDC_1.DCDC_faultlevel_ToBus","Double","Body CAN output","Veh_1/ToVCU/bodyCAN_out/SoftDCDCDataToBus/DCDC_1/DCDC_faultlevel_ToBus","Veh_1_B.VCar_Outport_ei","<none>","","","","","Parameter/state only","Static generated-C data flow","No external model input was reached. Terminal/unresolved nodes: Veh_1_P.DCDC_faultlevel_Value; Veh_1_P.OvrdVal_Value_co. Use runtime testing before treating this output as an injection observation.","Prefer outputs with a resolved external input in the same function chain for initial injection tests.","Veh_1_code_info_extio.xml + Veh_1.c: Veh_1_B.VCar_Outport_ei"
"Veh_1.ToVCU.bodyCAN_out.SoftDCDCDataToBus.DCDC_1.DCDC_InputCurrent_ToBus","Double","Body CAN output","Veh_1/ToVCU/bodyCAN_out/SoftDCDCDataToBus/DCDC_1/DCDC_InputCurrent_ToBus","Veh_1_B.VCar_Outport_kj","<none>","","","","","Parameter/state only","Static generated-C data flow","No external model input was reached. Terminal/unresolved nodes: Veh_1_P.DCDC_InputCurrent_Value; Veh_1_P.OvrdVal_Value_lw1. Use runtime testing before treating this output as an injection observation.","Prefer outputs with a resolved external input in the same function chain for initial injection tests.","Veh_1_code_info_extio.xml + Veh_1.c: Veh_1_B.VCar_Outport_kj"
"Veh_1.ToVCU.bodyCAN_out.SoftDCDCDataToBus.DCDC_1.DCDC_InputVoltage_ToBus","Double","Body CAN output","Veh_1/ToVCU/bodyCAN_out/SoftDCDCDataToBus/DCDC_1/DCDC_InputVoltage_ToBus","Veh_1_B.VCar_Outport_i3","<none>","","","","","Parameter/state only","Static generated-C data flow","No external model input was reached. Terminal/unresolved nodes: Veh_1_P.DCDC_InputVoltage_Value; Veh_1_P.OvrdVal_Value_km. Use runtime testing before treating this output as an injection observation.","Prefer outputs with a resolved external input in the same function chain for initial injection tests.","Veh_1_code_info_extio.xml + Veh_1.c: Veh_1_B.VCar_Outport_i3"
"Veh_1.ToVCU.bodyCAN_out.SoftDCDCDataToBus.DCDC_1.DCDC_OperatingMode_ToBus","Double","Body CAN output","Veh_1/ToVCU/bodyCAN_out/SoftDCDCDataToBus/DCDC_1/DCDC_OperatingMode_ToBus","Veh_1_B.VCar_Outport_nx","<none>","","","","","Parameter/state only","Static generated-C data flow","No external model input was reached. Terminal/unresolved nodes: Veh_1_P.DCDC_OperatingMode_Value; Veh_1_P.OvrdVal_Value_ky. Use runtime testing before treating this output as an injection observation.","Prefer outputs with a resolved external input in the same function chain for initial injection tests.","Veh_1_code_info_extio.xml + Veh_1.c: Veh_1_B.VCar_Outport_nx"
"Veh_1.ToVCU.bodyCAN_out.SoftDCDCDataToBus.DCDC_1.DCDC_OuputOpencircuit_ToBus","Double","Body CAN output","Veh_1/ToVCU/bodyCAN_out/SoftDCDCDataToBus/DCDC_1/DCDC_OuputOpencircuit_ToBus","Veh_1_B.VCar_Outport_jr","<none>","","","","","Parameter/state only","Static generated-C data flow","No external model input was reached. Terminal/unresolved nodes: Veh_1_P.DCDC_OuputOpencircuit_Value; Veh_1_P.OvrdVal_Value_cj. Use runtime testing before treating this output as an injection observation.","Prefer outputs with a resolved external input in the same function chain for initial injection tests.","Veh_1_code_info_extio.xml + Veh_1.c: Veh_1_B.VCar_Outport_jr"
"Veh_1.ToVCU.bodyCAN_out.SoftDCDCDataToBus.DCDC_1.DCDC_OutCurrent_ToBus","Double","Body CAN output","Veh_1/ToVCU/bodyCAN_out/SoftDCDCDataToBus/DCDC_1/DCDC_OutCurrent_ToBus","Veh_1_B.VCar_Outport_ipi","<none>","","","","","Parameter/state only","Static generated-C data flow","No external model input was reached. Terminal/unresolved nodes: Veh_1_P.DCDC_OutCurrent_Value; Veh_1_P.OvrdVal_Value_hu. Use runtime testing before treating this output as an injection observation.","Prefer outputs with a resolved external input in the same function chain for initial injection tests.","Veh_1_code_info_extio.xml + Veh_1.c: Veh_1_B.VCar_Outport_ipi"
"Veh_1.ToVCU.bodyCAN_out.SoftDCDCDataToBus.DCDC_1.DCDC_OutVoltage_ToBus","Double","Body CAN output","Veh_1/ToVCU/bodyCAN_out/SoftDCDCDataToBus/DCDC_1/DCDC_OutVoltage_ToBus","Veh_1_B.VCar_Outport_fob","<none>","","","","","Parameter/state only","Static generated-C data flow","No external model input was reached. Terminal/unresolved nodes: Veh_1_P.DCDC_OutVoltage_Value; Veh_1_P.OvrdVal_Value_gt. Use runtime testing before treating this output as an injection observation.","Prefer outputs with a resolved external input in the same function chain for initial injection tests.","Veh_1_code_info_extio.xml + Veh_1.c: Veh_1_B.VCar_Outport_fob"
"Veh_1.ToVCU.bodyCAN_out.SoftDCDCDataToBus.DCDC_1.DCDC_OverIV_ToBus","Double","Body CAN output","Veh_1/ToVCU/bodyCAN_out/SoftDCDCDataToBus/DCDC_1/DCDC_OverIV_ToBus","Veh_1_B.VCar_Outport_fws","<none>","","","","","Parameter/state only","Static generated-C data flow","No external model input was reached. Terminal/unresolved nodes: Veh_1_P.DCDC_OverIV_Value; Veh_1_P.OvrdVal_Value_b3v. Use runtime testing before treating this output as an injection observation.","Prefer outputs with a resolved external input in the same function chain for initial injection tests.","Veh_1_code_info_extio.xml + Veh_1.c: Veh_1_B.VCar_Outport_fws"
