输出接口,最小值,最大值,总变化次数,注入后窗口内变化次数,窗口内变化时刻_s,取值摘要
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftOBCDataToBus.OBC_1.OBC_ChargeCurrent_ToBus,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftOBCDataToBus.OBC_1.OBC_ChargeVoltage_ToBus,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftOBCDataToBus.OBC_1.OBC_FanFault_ToBus,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftOBCDataToBus.OBC_1.OBC_HighCurrOutputFault_ToBus,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftOBCDataToBus.OBC_1.OBC_HighVoltOutputOverVolt_ToBus,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftOBCDataToBus.OBC_1.OBC_HighVoltOutputShortCircuit_ToBus,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftOBCDataToBus.OBC_1.OBC_HighVoltOutputUnderVolt_ToBus,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftOBCDataToBus.OBC_1.OBC_InputOverVolt_ToBus,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftOBCDataToBus.OBC_1.OBC_InputUnderVolt_ToBus,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftOBCDataToBus.OBC_1.OBC_LowVoltOTFault_ToBus,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftOBCDataToBus.OBC_1.OBC_NoBattery_ToBus,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftOBCDataToBus.OBC_1.OBC_OverTemp_ToBus,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftOBCDataToBus.OBC_1.OBC_State_ToBus,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftOBCDataToBus.OBC_1_MsgEnable.OBC_1_MsgDisable,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftOBCDataToBus.OBC_2.OBC_ACVolageSts_ToBus,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftOBCDataToBus.OBC_2.OBC_BattConnectSts_ToBus,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftOBCDataToBus.OBC_2.OBC_CommOverTime_ToBus,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftOBCDataToBus.OBC_2.OBC_CP_Sts_ToBus,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftOBCDataToBus.OBC_2.OBC_HWSts_ToBus,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftOBCDataToBus.OBC_2.OBC_HWVersion_ToBus,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftOBCDataToBus.OBC_2.OBC_SoftVersion_ToBus,0,0,0,0,,{0}
